Temp,h,Cv,deltaCv,M,deltaM,Chi,deltaChi
0.8,2,0.498594,3.97163,0.940911,0.00014116,0.00807193,0.0504064
0.85,2,0.431925,3.4715,0.93543,0.000207905,0.00923276,0.0700867
0.9,2,0.566687,3.73276,0.932923,0.00022958,0.0114123,0.0733974
0.95,2,0.51245,2.82013,0.927552,0.000123053,0.0113306,0.0370671
1,2,0.877517,3.35981,0.92362,0.00022761,0.0202956,0.0645371
1.05,2,0.402166,1.87498,0.92137,0.000110429,0.010158,0.0296473
1.1,2,0.46752,1.49015,0.915989,0.000126148,0.0123318,0.0337219
1.15,2,0.484086,2.51599,0.913082,0.000245569,0.0128359,0.0601369
1.2,2,0.508822,2.42722,0.906973,0.000284412,0.015114,0.0655183
1.25,2,0.674108,1.0811,0.901306,0.000115229,0.0221849,0.0265619
1.3,2,0.473121,0.605397,0.89532,4.42594e-05,0.015745,0.00915933
1.35,2,0.471407,1.41874,0.892786,0.000184681,0.0155019,0.0374672
